m,n,k,processes,threads,error,generation_time,first_communication_time,second_communication_time,parallel_time,serial_time
32,32,32,2,4,0.123103,0.000063,0.000117,0.000029,0.000396,0.000012
32,32,32,2,6,0.167859,0.000078,0.000119,0.000025,0.005145,0.000018
32,32,32,2,8,0.134004,0.000069,0.000145,0.000032,0.000541,0.000007
32,32,32,2,10,0.131936,0.000065,0.000126,0.000031,0.000641,0.000012
32,32,32,4,2,0.137558,0.000053,0.000343,0.000213,0.001720,0.000008
32,32,32,4,3,0.166171,0.000071,0.000608,0.000053,0.004195,0.000008
32,32,32,4,4,0.151074,0.000055,0.000404,0.000218,0.004101,0.000008
32,32,32,4,5,0.228915,0.000062,0.000596,0.000053,0.003975,0.000017
32,32,32,2,4,0.000000,0.000079,0.000137,0.000025,0.002079,0.000000
32,32,32,2,6,0.000000,0.000078,0.000136,0.000032,0.000470,0.000000
32,32,32,2,8,0.000000,0.000055,0.000105,0.000028,0.000518,0.000000
32,32,32,2,10,0.000000,0.000069,0.000114,0.000033,0.001413,0.000000
32,32,32,4,2,0.000000,0.000067,0.000577,0.000070,0.000361,0.000000
32,32,32,4,3,0.000000,0.000063,0.000413,0.000243,0.001030,0.000000
32,32,32,4,4,0.000000,0.000053,0.000364,0.000217,0.003877,0.000000
32,32,32,4,5,0.000000,0.000091,0.000448,0.000222,0.005164,0.000000
32,32,32,2,4,0.000000,0.000069,0.000129,0.000033,0.000385,0.000000
32,32,32,2,6,0.000000,0.000069,0.000122,0.000030,0.000517,0.000000
32,32,32,2,8,0.000000,0.000054,0.000105,0.000027,0.000545,0.000000
32,32,32,2,10,0.000000,0.000068,0.000121,0.000032,0.000652,0.000000
32,32,32,4,2,0.000000,0.000048,0.000317,0.000054,0.001002,0.000000
32,32,32,4,3,0.000000,0.000083,0.000441,0.000217,0.003213,0.000000
32,32,32,4,4,0.000000,0.000058,0.000302,0.000049,0.004227,0.000000
32,32,32,4,5,0.000000,0.000053,0.000391,0.000048,0.001853,0.000000
32,32,32,2,4,0.000000,0.000075,0.000126,0.000033,0.000396,0.000000
32,32,32,2,6,0.000000,0.000069,0.000119,0.000032,0.000580,0.000000
32,32,32,2,8,0.000000,0.000071,0.000119,0.000032,0.000586,0.000000
32,32,32,2,10,0.000000,0.000070,0.000121,0.000032,0.000659,0.000000
32,32,32,4,2,0.000000,0.000066,0.000454,0.000267,0.000362,0.000000
32,32,32,4,3,0.000000,0.000063,0.000392,0.000264,0.000900,0.000000
32,32,32,4,4,0.000000,0.000057,0.000538,0.000059,0.004111,0.000000
32,32,32,4,5,0.000000,0.000070,0.000619,0.000070,0.000753,0.000000
64,64,64,2,4,0.000000,0.000256,0.000136,0.000050,0.000451,0.000058
64,64,64,2,6,0.000000,0.000240,0.000118,0.000047,0.000509,0.000077
64,64,64,2,8,0.000000,0.000226,0.000150,0.000038,0.000994,0.000057
64,64,64,2,10,0.049148,0.000242,0.000126,0.000039,0.003713,0.000058
64,64,64,4,2,0.000000,0.000182,0.000460,0.000088,0.000399,0.000057
64,64,64,4,3,0.017900,0.000175,0.000387,0.000104,0.000665,0.000057
64,64,64,4,4,0.000000,0.000131,0.000355,0.000242,0.003418,0.000055
64,64,64,4,5,0.016256,0.000125,0.000345,0.000224,0.008912,0.000051
64,64,64,2,4,0.000000,0.000249,0.000142,0.000036,0.002140,0.000000
64,64,64,2,6,0.000000,0.000250,0.000120,0.000048,0.000538,0.000000
64,64,64,2,8,0.000000,0.000227,0.000116,0.000045,0.000561,0.000000
64,64,64,2,10,0.000000,0.000169,0.000103,0.000039,0.001030,0.000000
64,64,64,4,2,0.000000,0.000181,0.000392,0.000301,0.000423,0.000000
64,64,64,4,3,0.000000,0.000179,0.000443,0.000071,0.004253,0.000000
64,64,64,4,4,0.000000,0.000130,0.000437,0.000085,0.001590,0.000000
64,64,64,4,5,0.000000,0.000157,0.000430,0.000094,0.001878,0.000000
64,64,64,2,4,0.000000,0.000273,0.000171,0.000056,0.000540,0.000000
64,64,64,2,6,0.000000,0.000177,0.000100,0.000040,0.003548,0.000000
64,64,64,2,8,0.000000,0.000250,0.000120,0.000047,0.000560,0.000000
64,64,64,2,10,0.000000,0.000241,0.000117,0.000039,0.003656,0.000000
64,64,64,4,2,0.000000,0.000181,0.000183,0.000105,0.000885,0.000000
64,64,64,4,3,0.000000,0.000173,0.000456,0.000275,0.000448,0.000000
64,64,64,4,4,0.000000,0.000300,0.000451,0.000245,0.003973,0.000000
64,64,64,4,5,0.000000,0.000125,0.000367,0.000063,0.000653,0.000000
64,64,64,2,4,0.000000,0.000289,0.000182,0.000047,0.000837,0.000000
64,64,64,2,6,0.000000,0.000250,0.000121,0.000037,0.004102,0.000000
